C,Category,English File Link,Toto File Link,Image Link
Angry,Emotions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Angry_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Angry_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/angry.png
Apple,Food,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Apple_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Apple_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/Apple.png
Banana,Food,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Banana_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Banana_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/Banana.png
Bird,Animals,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Bird_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Bird_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/bird.png
Bread,Food,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Bread_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Bread_Toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/bread.png
Brother,Family,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Brother_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Brother_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/brother.png
Cat,Animals,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Cat_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Cat_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/cat.png
Cloud,Nature,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Cloud_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Cloud_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/cloud.png
Cow,Animals,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Cow_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Cow_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/cow.png
Cry,Emotions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Cry_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Cry_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/cry.png
Dance,Actions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Dance_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Dance_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/dance.png
Dog,Animals,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Dog_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Dog_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/dog.png
Drink,Actions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Dream_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Dream_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/drink.png
Ear,Body Parts,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Ear_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Ear_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/ear.png
Eat,Actions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Eat_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Eat_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/eat.png
Egg,Food,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Egg_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Egg_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/egg.png
Elephant,Animals,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Elephant_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Elephant_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/elephant.png
Eye,Body Parts,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Eye_Eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Eye_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/eye.png
Family,Community,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Family_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Family_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/family.png
Father,Family,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Father_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Father_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/father.png
Field,Places,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Field_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Field_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/field.png
Fire,Nature,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Fire_Eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Fire_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/fire.png
Fish,Animals,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Fish_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Fish_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/fish.png
Flower,Nature,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Flower_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Flower_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/flower.png
Foot,Body Parts,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Foot_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Foot_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/foot.png
Forest,Places,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Forest_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Forest_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/forest.png
Frog,Animals,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Frog_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Frog_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/frog.png
Goat,Animals,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Got_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Got_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/goat.png
Hand,Body Parts,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Hand_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Hand_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/hand.png
Happy,Emotions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Happy_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Happy_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/happy.png
Head,Body Parts,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Head_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Head_Toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/head.png
Heart,Body Parts,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Heart_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Heart_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/heart.png
Home,Places,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Home_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Home_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/house.png
Jump,Actions,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Jump_eng.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/audio/words/Jump_toto.mp3,https://ryxeculvhjqugxaqscui.supabase.co/storage/v1/object/public/images/Words/jump.png
